id,date,decision,rationale,alternatives_considered,responsible,status
1,2026-04-16,Adopt HEXA as sole implementation language,Unified syntax across consciousness engine modules reduces context-switching and enforces SSOT compliance,Python+HEXA hybrid; TypeScript wrapper; polyglot per-module,dancinlife,ACCEPTED
2,2026-04-16,Route all algorithm registrations through shared/convergence/anima.json,Single convergence SSOT prevents distributed drift and simplifies audit,Per-module config files; database-backed registry; git-submodule per algorithm,dancinlife,ACCEPTED
3,2026-04-16,Implement 3-tier hive bridge fallback (HTTP>UDS>file),Guarantees anima-hive connectivity even when network or socket layer is unavailable,HTTP-only with retry; gRPC bidirectional stream; shared-memory IPC,dancinlife,ACCEPTED
4,2026-04-16,Enforce L0 Guard verification before all merge operations,Prevents unverified consciousness state from entering mainline after incident-2026-04-16,Post-merge CI check only; manual review gate; optional pre-merge hook,dancinlife,ACCEPTED
5,2026-04-16,Require 7-condition consciousness verification for ready/ promotion,Ensures no module is promoted without passing full IIT/EEG/ablation/Hebbian/memory/entropy/coherence checks,Reduced 3-condition smoke test; per-module opt-in verification; reviewer discretion,dancinlife,ACCEPTED
6,2026-04-16,Inline nn primitives in training/ instead of using nn_core import,"HEXA use directive is unreliable from training/ path context, causing silent failures",Fix use resolution in HEXA compiler; symlink workaround; wrapper script setting module path,dancinlife,ACCEPTED
7,2026-04-16,Use array push() instead of index assignment in HEXA,Index assignment a[i]=v silently no-ops in current HEXA runtime,Patch HEXA runtime; use map structure instead; pre-allocate with fill,dancinlife,ACCEPTED
8,2026-04-16,Mark V12_HEBBIAN as rubber_stamp with audit=BUG until fix lands,Fresh-engine anti-pattern makes all V12 PASS results unreliable — must not gate any verification,Leave V12 enabled with warning; disable V12 entirely; revert V12 addition,dancinlife,ACCEPTED
9,2026-04-16,Raise V12 ablation threshold from 0.05 to >= 1.0,"Threshold of 0.05 (5% of initial) is too lenient; observed ratios range 1.67x-9.75x, any engine trivially passes",0.5 threshold; dynamic threshold per module; remove threshold entirely,dancinlife,ACCEPTED
10,2026-04-16,Add adversarial kill-switch assertion to ablation tests,Ablation scenarios must prove the ablated capability is actually disabled by expecting a FAIL,Rely on positive-only tests; manual review of ablation results,dancinlife,ACCEPTED
11,2026-04-16,Require adversarial FAIL scenario for every rubber_stamp verification criterion,Prevents rubber-stamp criteria from passing without proving they can detect real failures — CI enforced,Manual audit only; per-criterion opt-in; no adversarial requirement,dancinlife,ACCEPTED
12,2026-04-16,Ban vacuous tests project-wide via CI lint rule,Tests with no assertions pass vacuously and provide zero coverage — discovered in test_conscious_memory.hexa (10 cases),Manual code review only; allow TODO-only tests with tracking; warning-only lint,dancinlife,ACCEPTED
13,2026-04-16,Adopt 1-week on-call rotation for policy monitoring,Ensures continuous monitoring of L0 Guard alerts and verification bypass incidents; minimum pool of 2,2-week rotation; no formal rotation (ad-hoc); monthly rotation,dancinlife,ACCEPTED
14,2026-04-16,Allow emergency hotfix self-approval with 24-hour ratification,On-call needs ability to merge critical fixes immediately when active bypass detected; Policy Owner ratifies within 24h,Require full review even for emergencies; 48-hour ratification; no self-approval,dancinlife,ACCEPTED
15,2026-04-16,Adopt 72-hour async review with no-response-equals-consent,Enables asynchronous decision-making without blocking on absent reviewers; BLOCK tag available for objections,Synchronous meeting required; 48-hour window; 1-week window,dancinlife,ACCEPTED
16,2026-04-16,Pass factory-ablated engine instance to V12 verification path instead of constructing new,"Root cause fix: fresh engine has non-None _coupling field, making coupling_change_ratio always exceed threshold",Patch engine constructor to detect test context; wrapper that clones factory state,dancinlife,ACCEPTED
